lights,Press_mm_hg,Windspeed,Visibility,Tdewpoint,T-in,RH-in,rv,RH-out,Appliances
0,758.9333333,9.6000000012,61.0,-4.57,17.67833333375,40.64083333375,26.64844054,90.370833335,50
0,758.9,10.8,61.0,-4.4,17.67000000125,40.67000000000001,16.79486902,90.538333335,40
0,758.9,10.199999998800001,61.0,-4.38,17.62958333375,40.692083333750006,15.71173217,90.590833335,80
10,758.9,9.6000000012,61.0,-4.37,17.632916667499998,40.665,19.13110302,90.345555555,40
0,758.9,9.0,61.0,-4.35,17.61333333375,40.642717802499995,0.92732039,90.06722221999999,50
10,758.9,7.8000000012,61.0,-4.32,17.601071427500003,40.6487202375,43.9256647,90.02611111,150
0,758.9,7.2,61.0,-4.3,17.59092262,40.52550892875,20.10320119,90.225833335,50
0,758.95,7.2,61.16666667,-4.32,17.5409027775,40.311805555,23.46905371,89.983888885,40
10,759.0,7.2,61.33333333,-4.33,17.523846153749997,40.12994343875,20.11682551,89.56277778,60
0,759.05,7.2,61.5,-4.35,17.48926136375,39.850303030000006,35.10450512,88.975,60
0,759.1,7.2,61.66666667,-4.37,17.45104166625,39.65909722124999,19.95822326,88.14750000000001,60
0,759.15,7.2,61.83333333,-4.38,17.42888888875,39.466701390000004,25.09791614,87.419444445,50
0,759.2,7.2,62.0,-4.4,17.409618055000003,39.28366319375,1.848687534,87.31638889,70
0,759.3,8.3999999988,61.83333333,-4.32,17.384742063749997,39.125873015,14.89878674,87.999166665,60
10,759.4,9.6000000012,61.66666667,-4.23,17.36638888875,38.9712152775,48.14209909,88.530833335,60
10,759.5,10.8,61.5,-4.15,17.351805555,38.87029762,46.75484523,88.96555555500001,60
10,759.8,14.4,61.0,-3.9,17.30708333375,38.73322916625,37.73885964,89.89833333499999,80
10,759.8333333,13.2000000012,60.5,-3.85,17.29875,38.70594697,3.298331506,90.145,50
0,759.8666667,11.9999999988,60.0,-3.8,17.2858333325,38.662083332499996,6.775238959,90.331666665,60
10,759.9,10.8,59.5,-3.75,17.25875,38.755,6.17996878,90.596666665,80
10,759.9333333,9.6000000012,59.0,-3.7,17.245,38.810937499999994,38.12719304,90.84666666999999,50
0,759.9666667,8.3999999988,58.5,-3.65,17.3540625,41.826770833750004,45.1732858,91.08333333,80
10,760.0,7.2,58.0,-3.6,17.56541666625,43.259166666249996,20.13295451,91.33500000000001,90
10,760.1,7.8000000012,58.16666667,-3.57,17.45791666625,43.520833332500004,9.12815039,91.4,90
0,760.2,8.3999999988,58.33333333,-3.53,17.39439393875,43.503352272499995,18.72826095,91.413333335,70
10,760.3,9.0,58.5,-3.5,17.36333333375,42.67256944375,25.31043387,91.46666666499999,90
0,760.4,9.6000000012,58.66666667,-3.47,17.350729166249998,41.707569445000004,45.67513395,91.53,60
10,760.5,10.199999998800001,58.83333333,-3.43,17.326249999999998,41.34375,3.832259052,91.51666667,70
0,760.6,10.8,59.0,-3.4,17.32229166625,41.004583333750006,5.487276195,91.515,90
10,760.6,10.8,59.33333333,-3.38,17.350416666250002,41.06791666625001,37.71336112,91.281666665,70
0,760.6,10.8,59.66666667,-3.37,17.34125,40.8570833325,15.22993878,91.0,110
0,760.6,10.8,60.0,-3.35,17.315416667500003,40.57458333375,36.19048282,90.7,70
0,760.6,10.8,60.33333333,-3.33,17.30875,40.75,11.61650144,90.46666666499999,70
0,760.6,10.8,60.66666667,-3.32,17.29083333375,40.60125000125,19.67294335,90.233333335,80
0,760.6,9.6000000012,61.0,-3.17,17.267361111249997,39.87318576375,2.89375853,89.77083333499999,70
0,760.6,9.0,61.0,-3.1,17.276102941250002,39.6746609025,15.23828523,89.7,60
0,760.6,8.3999999988,61.0,-3.03,17.273660713749997,39.4835317475,12.0462022,89.714166665,50
0,760.6,7.8000000012,61.0,-2.97,17.270661765,39.2872253775,19.26017175,89.62833333500001,60
0,760.6,7.2,61.0,-2.9,17.2578125,39.107387941249996,38.14916778,89.515,80
0,760.55,7.2,61.16666667,-2.85,17.23295634875,38.942222223749994,43.23234993,89.454583335,70
0,760.5,7.2,61.33333333,-2.8,17.23958333375,38.79562500000001,33.95556075,89.366666665,80
0,760.45,7.2,61.5,-2.75,17.224423077500003,38.674305556250005,33.83813527,89.35,70
0,760.4,7.2,61.66666667,-2.7,17.225151515,38.5925347225,8.252625971,89.33333333499999,80
0,760.35,7.2,61.83333333,-2.65,17.20318181875,38.49614583375,40.14337147,89.16666666500001,70
0,760.3,7.2,62.0,-2.6,17.21138889,38.437291666250005,35.59967157,89.0,80
0,760.3,7.2,62.0,-2.58,17.21138888875,38.405,46.43515445,88.927916665,50
0,760.3,7.2,62.0,-2.57,17.209305555,38.37930555625,0.374730246,88.87833333500001,40
0,760.3,7.2,62.0,-2.55,17.190416666249998,38.34395833375,29.81658267,88.81333333500001,30
0,760.3,7.2,62.0,-2.53,17.174166666250002,38.295277777500004,18.33728404,88.66666666500001,50
0,760.3,7.2,62.0,-2.52,17.14298611125,38.25290598375,37.09835777,88.705833335,80
0,760.3,7.2,62.0,-2.5,17.119305555,38.2484722225,38.10436953,88.613333335,80
0,760.3,7.2,61.83333333,-2.42,17.09625,38.233124999999994,13.03614796,88.828333335,80
0,760.3,7.2,61.66666667,-2.33,17.100625,38.2047222225,12.74679407,89.045,70
0,760.3,7.2,61.5,-2.25,17.106111111249998,38.224444443749995,33.9420405,89.33,90
0,760.3,7.2,61.33333333,-2.17,17.10680555625,38.224722222500006,24.27403312,89.683333335,80
0,760.3,7.2,61.16666667,-2.08,17.0972222225,38.24732638875,18.92922651,89.9,80
0,760.3,7.2,61.0,-2.0,17.101875,38.29236111,2.777399134,90.2,80
0,760.3,7.2,60.5,-1.93,17.08458333375,38.333194443749996,44.95129492,90.5,70
0,760.3,7.2,60.0,-1.87,17.07736111125,38.38930555500001,40.08616569,90.866666665,60
0,760.3,7.2,59.5,-1.8,17.071875,38.398611111250005,24.0506525,91.13,50
0,760.3,7.2,59.0,-1.73,17.05604166625,38.432638887500005,1.60643796,91.42833333499999,80
0,760.3,7.2,58.5,-1.67,17.043055556250003,38.428055555,25.60034061,91.72833333,80
0,760.3,7.2,58.0,-1.6,17.049444445000002,38.441736111249995,18.65506361,91.983333335,60
0,760.3666667,7.2,56.83333333,-1.55,17.02416666625,38.427847222500006,24.92858424,92.2,70
0,760.5666667,7.2,53.33333333,-1.4,16.98944444375,38.42430555625,26.21445142,92.781666665,160
10,760.6333333,7.2,52.16666667,-1.35,16.97416666625,38.4502777775,8.019942488,93.095,120
0,760.7,7.2,51.0,-1.3,16.94833333375,38.452083333750004,10.25571176,93.345,90
0,760.7,7.2,50.5,-1.28,16.962777777499998,38.513888887499995,48.76133578,93.631666665,90
10,760.7,7.2,50.0,-1.27,16.964166666249998,38.547222222500004,48.31774376,93.881666665,90
0,760.7,7.2,49.5,-1.25,16.989999998749997,38.589375,38.00351612,94.01124999999999,80
10,760.7,7.2,49.0,-1.23,17.016666666250003,38.63048611125,3.818526608,94.2,170
40,761.25,4.2000000012,56.83333333,-1.27,17.7677083325,39.8372222225,39.12551572,93.345,100
30,761.3,4.7999999988,57.66666667,-1.23,17.873888887499998,39.81361111125,6.951142277,93.345,160
20,761.5,7.2,61.0,-1.3,18.56048611,41.2847222225,9.97595943,93.16666666500001,70
10,761.5,7.2,61.0,-1.35,18.57284722125,40.9325,34.72727382,93.08333333499999,60
10,761.5,7.2,61.0,-1.4,18.50465277875,40.7828472225,8.293938136,92.95,50
20,761.55,7.2,61.0,-1.42,18.47458333375,40.828298611250005,3.698195191,92.83333333,70
10,761.6,7.2,61.0,-1.43,18.416666666250002,40.8803472225,1.911809423,92.83333333499999,160
10,761.7,7.2,61.0,-1.47,18.4235416675,41.001805555,18.67740987,92.66666666500001,150
10,761.75,7.2,61.0,-1.48,18.4575,41.026319445,44.03553486,92.55,60
20,761.8,7.2,61.0,-1.5,18.4385416675,41.012430555,4.515888623,92.5,60
10,761.8,7.2,61.0,-1.55,18.403333333750002,41.0390972225,24.79537056,92.46666666499999,50
10,761.8,7.2,61.0,-1.6,18.362500000000004,41.087430555,37.7161368,92.433333335,50
20,761.8,7.2,61.0,-1.65,18.323124999999997,41.18138888875,30.29454065,92.363333335,50
10,761.8,7.2,61.0,-1.7,18.282083333750002,41.25208333375,26.42063983,92.345,50
0,761.8,7.2,61.0,-1.75,18.251666667500004,41.298402778749995,45.51033414,92.345,50
0,761.8,7.2,61.0,-1.8,18.211875,41.3545833325,49.2864452,92.381666665,60
0,761.8666667,7.2,60.16666667,-1.9,18.167638888749998,41.41527777875,13.9871281,92.566666665,50
0,761.9333333,7.2,59.33333333,-2.0,18.13041666625,41.46270833375,6.174584734,92.733333335,40
0,762.0,7.2,58.5,-2.1,18.096249999999998,41.523472221249996,8.718952199,92.933333335,20
0,762.0666667,7.2,57.66666667,-2.2,18.050625000000004,41.59041666625,44.06676274,93.13333333,30
0,762.1333333,7.2,56.83333333,-2.3,18.009999999999998,41.6290625,6.231413607,93.233333335,50
0,762.2,7.2,56.0,-2.4,17.97486111,41.66722222125,14.94844523,93.433333335,50
0,762.2,7.2,54.33333333,-2.48,17.935000000000002,41.707013888750005,8.236731996,93.75,60
0,762.2,7.2,52.66666667,-2.57,17.905625,41.75166666625,3.630477225,94.116666665,60
0,762.2,7.2,51.0,-2.65,17.892500000000005,41.77375,11.9206991,94.5,60
0,762.2,7.2,49.33333333,-2.73,17.875277777500003,41.7771527775,35.83333027,94.83333333499999,40
0,762.2,7.2,47.66666667,-2.82,17.838611111250003,41.77513888875,32.25104959,95.08333333,60
0,762.2,7.2,46.0,-2.9,17.808263888749998,41.762569443749996,3.793748328,95.483333335,40
0,762.2166667,6.5999999987999995,48.5,-2.77,17.78666666625,41.789652778749996,8.635446103,95.25,40
0,762.2333333,6.0000000012,51.0,-2.63,17.770000000000003,41.856388888750004,7.283517893,95.03,40
0,762.25,5.4,53.5,-2.5,17.742847222499996,41.876666666249996,19.59505922,94.75,30
0,762.2666667,4.7999999988,56.0,-2.37,17.704305554999998,41.87375,11.58725497,94.5,40
0,762.2833333,4.2000000012,58.5,-2.23,17.682499999999997,41.88,28.06899115,94.21666666499999,60
0,762.3,3.6,61.0,-2.1,17.65625,41.8966666675,29.17600933,93.95,50
0,762.2833333,3.6,60.66666667,-2.1,17.641527777500002,41.9022916675,4.937966913,93.866666665,50
0,762.2666667,3.6,60.33333333,-2.1,17.62791666625,41.90192361125,7.945827069,93.78333333500001,40
0,762.25,3.6,60.0,-2.1,17.60868786625,41.9003618425,46.1032702,93.7,50
0,762.2333333,3.6,59.66666667,-2.1,17.56041666625,41.887013888750005,42.97248595,93.54833332999999,50
0,762.2166667,3.6,59.33333333,-2.1,17.54763888875,41.90673611125,45.35993767,93.42833333499999,60
0,762.2,3.6,59.0,-2.1,17.5403472225,41.91270833375,5.76344782,93.345,50
0,762.2333333,4.2000000012,59.33333333,-2.23,17.5177777775,41.88361111125,1.776961703,93.17833333499999,40
0,762.2666667,4.7999999988,59.66666667,-2.37,17.506388888750003,41.8640277775,29.28771938,93.011666665,30
0,762.3,5.4,60.0,-2.5,17.50020833375,41.859722222500004,15.70841324,92.81166666499999,30
0,762.3333333,6.0000000012,60.33333333,-2.63,17.49136111,41.855625,27.84446371,92.58333333499999,40
0,762.3666667,6.5999999987999995,60.66666667,-2.77,17.444312865,41.83323465,17.72477077,92.44666666500001,50
0,762.4,7.2,61.0,-2.9,17.42944444375,41.82729166625,7.163415581,92.25,50
0,762.45,7.2,59.33333333,-3.05,17.41791666625,41.83423611,28.35677314,92.28333333500001,60
0,762.5,7.2,57.66666667,-3.2,17.4025,41.836875,16.70493289,92.21666666499999,60
0,762.55,7.2,56.0,-3.35,17.371250000000003,41.842083333750004,6.02005953,91.97999999999999,50
0,762.6,7.2,54.33333333,-3.5,17.38375,41.86263888875,12.79271621,91.633333335,40
0,762.65,7.2,52.66666667,-3.65,17.378888888749998,41.881597222500005,17.66926582,91.23333333,50
0,762.7,7.2,51.0,-3.8,17.366388888750002,41.89375,41.56599647,91.08,50
10,762.7,7.2,51.66666667,-3.7,17.33805555625,41.881458333750004,39.16119583,90.91166667,60
0,762.7,7.2,52.33333333,-3.6,17.319097222499998,41.9359027775,47.00761037,90.995,30
0,762.7,7.2,53.0,-3.5,17.30486111125,41.971666666249995,41.95995159,91.346666665,30
10,762.7,7.2,53.66666667,-3.4,17.28986111125,41.94958333375,7.449250959,92.09666666999999,50
0,762.7,7.2,54.33333333,-3.3,17.2684722225,41.968819445,29.53380425,91.96333333,50
10,762.7,7.2,55.0,-3.2,17.25666666625,41.9684722225,41.19813003,91.88,50
10,762.8,6.5999999987999995,55.33333333,-3.35,17.251805554999997,41.93013888875,31.59426827,91.39666667,40
10,762.9,6.0000000012,55.66666667,-3.5,17.226944445,41.72749999875,23.49649807,91.516666665,60
10,763.0,5.4,56.0,-3.65,17.212152777500002,41.420555555,12.93704518,91.66666666500001,40
10,763.1,4.7999999988,56.33333333,-3.8,17.174097222500002,41.10427083375,1.229017542,91.84666666999999,50
0,763.2,4.2000000012,56.66666667,-3.95,17.134722222500002,40.798402778749995,16.44040638,92.03916666500001,40
0,763.3,3.6,57.0,-4.1,17.11555555625,40.48923611,11.24267422,91.798333335,30
0,763.3666667,3.6,54.33333333,-4.3,17.113611111250002,40.08743055375,43.86659197,91.531666665,20
0,763.4333333,3.6,51.66666667,-4.5,17.086006945,39.7553472225,33.88271003,91.31166667,20
0,763.5,3.6,49.0,-4.7,17.049375,39.47708333250001,26.29666518,91.17833333499999,40
0,763.5666667,3.6,46.33333333,-4.9,17.022638888750002,39.25368055625,27.8843332,91.41333333,40
0,763.6333333,3.6,43.66666667,-5.1,16.999583333750003,39.058819445000005,12.37358367,91.613333335,40
0,763.7,3.6,41.0,-5.3,16.98375,38.8875,0.364838541,91.781666665,50
0,763.7833333,3.6,43.16666667,-4.92,16.976250000000004,38.75083333375,47.44532176,91.42833333499999,60
20,763.8666667,3.6,45.33333333,-4.53,16.960625,38.60635416625001,35.95750693,91.03333333500001,60
10,763.95,3.6,47.5,-4.15,16.954305556250002,38.46527777875,13.96622723,90.91666666500001,60
20,764.0333333,3.6,49.66666667,-3.77,16.928472222499998,38.308125000000004,37.1891428,90.816666665,50
10,764.1166667,3.6,51.83333333,-3.38,16.9177777775,38.19909722250001,43.53742005,90.763333335,40
20,764.2,3.6,54.0,-3.0,16.932361110000002,38.1288888875,19.01850626,90.613333335,30
10,764.25,3.6,55.33333333,-2.97,16.94270833375,38.06979166625,35.9723758,89.613333335,50
10,764.3,3.6,56.66666667,-2.93,16.964236111250003,38.000833334999996,11.98033552,88.741666665,70
20,764.35,3.6,58.0,-2.9,16.9577777775,37.983888888749995,32.38824371,87.998333335,60
10,764.4,3.6,59.33333333,-2.87,16.982569443750002,37.89291666625,48.78353804,87.03166666999999,60
20,764.45,3.6,60.66666667,-2.83,17.010833333749996,37.8457291675,18.8999404,86.14833333,60
20,764.5,3.6,62.0,-2.8,17.04,37.793055556249996,23.20720643,85.11500000000001,60
10,764.5,3.6,55.16666667,-2.93,17.072499999999998,37.726736111250005,40.61481479,84.431666665,60
20,764.5,3.6,48.33333333,-3.07,17.106458333750002,37.65819444500001,24.72040566,83.795,50
10,764.5,3.6,41.5,-3.2,17.13125,37.561215277500004,2.515451133,83.21666666499999,50
0,764.5,3.6,34.66666667,-3.33,17.1503472225,37.493472223750004,6.53108703,82.516666665,40
10,764.5,3.6,27.83333333,-3.47,17.17083333375,37.4253472225,8.071915805,81.733333335,50
0,764.5,3.6,21.0,-3.6,17.18444444375,37.3303472225,4.472657992,80.863333335,50
0,764.45,3.6,20.83333333,-3.75,17.1847222225,37.22916666625,20.18070441,79.85,60
10,764.4,3.6,20.66666667,-3.9,17.20458333375,37.173055555000005,3.192993393,78.94666667,60
0,764.35,3.6,20.5,-4.05,17.211875,37.09138888875,28.10029612,77.933333335,50
0,764.3,3.6,20.33333333,-4.2,17.24784722125,37.05118055625,16.8262054,77.13333333,50
10,764.25,3.6,20.16666667,-4.35,17.278958333749998,36.95673611125,27.03211405,76.37833333500001,50
0,764.2,3.6,20.0,-4.5,17.316180555,36.842916666250005,45.6615611,75.67375,50
0,764.15,4.2000000012,27.5,-4.38,17.338819445000002,36.713680553749995,19.34403796,75.85,50
0,763.95,6.5999999987999995,57.5,-3.92,17.490416666250002,36.472083335,34.03178286,76.448333335,60
0,763.9,7.2,65.0,-3.8,17.51430555625,36.315555555,45.13211768,76.345,70
0,763.8666667,6.5999999987999995,57.5,-3.95,17.556319445,36.15527777875,12.68985328,75.895,70
0,763.8333333,6.0000000012,50.0,-4.1,17.590277777500003,35.994375000000005,20.30485647,75.66666666500001,80
0,763.8,5.4,42.5,-4.25,17.645000000000003,35.93013889,0.712430675,75.21666666499999,60
0,763.7666667,4.7999999988,35.0,-4.4,17.730138887500004,35.93243055375,5.52238971,74.83333333499999,60
0,763.7333333,4.2000000012,27.5,-4.55,17.79298611,35.94013888875,25.0768896,74.41666666500001,40
0,763.7,3.6,20.0,-4.7,17.902500000000003,35.9215972225,18.5763324,73.96666666499999,50
0,763.7666667,3.6,20.33333333,-4.37,17.99243055625,35.917083335,40.29577771,74.71666666499999,50
0,763.8333333,3.6,20.66666667,-4.03,18.117986111249998,35.92090277625,0.396142178,75.31333333500001,40
0,763.9,3.6,21.0,-3.7,18.22534722375,35.94506944375,41.82560296,76.06333333500001,40
0,763.9666667,3.6,21.33333333,-3.37,18.339236111250003,35.88659722375,18.84195897,76.77250000000001,40
0,764.0333333,3.6,21.66666667,-3.03,18.416180555,35.98743055625,19.26242666,77.316666665,50
0,764.1,3.6,22.0,-2.7,18.488680555,36.15097222125,47.57652878,77.83,40
0,764.1333333,3.6,29.16666667,-2.7,18.51729166625,36.2428472225,23.78371197,78.41666667,50
0,764.1666667,3.6,36.33333333,-2.7,18.53229166625,36.35763888875,27.60468972,78.95,40
0,764.2,3.6,43.5,-2.7,18.538472222499998,36.441805554999995,46.73581625,79.21666666499999,40
0,764.2333333,3.6,50.66666667,-2.7,18.52243055625,36.5177777775,43.1718128,79.85,40
0,764.2666667,3.6,57.83333333,-2.7,18.4975,36.552499999999995,12.99572422,80.05000000000001,40
0,764.3,3.6,65.0,-2.7,18.47236111125,36.58763888875,34.38499173,80.58,50
0,764.3666667,3.6,65.0,-2.8,18.425138888750002,36.641944445,22.39536231,80.55,40
0,764.4333333,3.6,65.0,-2.9,18.3934027775,36.75208333375,10.9008138,81.03,20
0,764.5,3.6,65.0,-3.0,18.35124999875,36.79409722250001,34.31184075,81.465,20
0,764.5666667,3.6,65.0,-3.1,18.328402777500003,36.8621527775,47.96910126,82.215,30
10,764.6333333,3.6,65.0,-3.2,18.288680555000003,36.890763888749994,12.97022405,82.73,50
10,764.7,3.6,65.0,-3.3,18.240277777499998,36.88395833375,23.4379996,83.21666666499999,70
30,764.6666667,3.6,64.83333333,-3.28,18.196111111249998,36.699305553749994,16.06697788,84.548333335,90
20,764.6333333,3.6,64.66666667,-3.27,18.17673611125,36.45208333375,8.232140727,85.127916665,110
0,764.5666667,4.7999999988,63.66666667,-3.13,18.163194445000002,37.486875000000005,40.30726809,87.863333335,100
10,764.6,5.4,63.5,-3.1,18.19409722,37.977916666249996,5.773561762,88.03,100
10,764.6333333,6.0000000012,63.33333333,-3.07,18.245486111250003,37.859791666250004,34.60072107,88.095,120
0,764.6666667,6.5999999987999995,63.16666667,-3.03,18.308124999999997,37.835,1.089311426,88.198333335,150
10,764.7,7.2,63.0,-3.0,18.322916667500003,37.66298611125,18.06883543,88.345,120
20,764.6666667,8.3999999988,62.83333333,-2.77,18.35333333375,37.57138888875,36.6140025,88.248333335,120
20,764.6333333,9.6000000012,62.66666667,-2.53,18.352569445,37.470625000000005,15.6311521,88.43333333000001,160
0,764.7,11.9999999988,62.0,-1.73,18.663784722499997,37.74892361125,33.21537386,89.33,90
0,764.75,11.4000000012,62.0,-1.77,18.70180555625,37.77125000125,6.94336528,89.35,80
0,764.8,10.8,62.0,-1.8,18.691458333750003,37.66354166625,16.29409069,89.433333335,80
0,764.8,10.199999998800001,61.5,-1.85,18.67947916625,37.54482639,41.57151094,89.69666666500001,70
0,764.8,9.6000000012,61.0,-1.9,18.6527083325,37.57670138875,41.12695522,89.883333335,50
0,764.8,9.0,60.5,-1.95,18.621458332500005,37.777708332500005,7.469996018,90.3,50
10,764.8,8.3999999988,60.0,-2.0,18.600694445000002,38.0316666675,21.06398448,90.94666666500001,40
0,764.8,7.8000000012,59.5,-2.05,18.5628472225,38.198125,22.25913258,91.633333335,40
0,764.8,7.2,59.0,-2.1,18.52236111125,38.32937499875,44.19636879,92.08,40
0,764.85,8.3999999988,59.33333333,-2.03,18.4959027775,38.4340972225,20.74986633,91.745,30
0,764.9,9.6000000012,59.66666667,-1.97,18.441805554999995,38.53687499875001,34.49460809,91.781666665,50
0,764.95,10.8,60.0,-1.9,18.418541666250004,38.63444444375,35.84604386,91.75,50
0,765.0,11.9999999988,60.33333333,-1.83,18.369999999999997,38.704305555,0.618958496,91.629583335,40
0,765.05,13.2000000012,60.66666667,-1.77,18.3296527775,38.792673612499996,1.891472423,91.511666665,50
0,765.1,14.4,61.0,-1.7,18.318819445000003,38.871805555,4.543870711,91.45,40
10,765.1,13.7999999988,61.0,-1.73,18.269236111250002,38.91749999875,19.94119837,91.53333333500001,40
0,765.1,13.2000000012,61.0,-1.77,18.259236111250004,39.020972222500006,45.0107288,91.63333333,40
0,765.1,12.6,61.0,-1.8,18.21,39.0752777775,22.24513142,91.683333335,40
0,765.1,11.9999999988,61.0,-1.83,18.17875,39.15097222125,37.7576546,91.698333335,50
0,765.1,11.4000000012,61.0,-1.87,18.131527777499997,39.19437499875,35.57351198,91.711666665,30
0,765.1,10.8,61.0,-1.9,18.1108333325,39.225694445,8.337817516,91.683333335,30
0,765.0,10.8,61.16666667,-1.93,18.07583333375,39.276250000000005,43.45711946,91.566666665,20
0,764.9,10.8,61.33333333,-1.97,18.055625,39.344236111250005,4.459226772,91.395,40
0,764.8,10.8,61.5,-2.0,18.0379166675,39.38291666625,8.150683169,91.381666665,40
0,764.7,10.8,61.66666667,-2.03,17.992916666250004,39.415,42.46768442,91.431666665,50
0,764.6,10.8,61.83333333,-2.07,17.94916666625,39.4434027775,31.40651706,91.448333335,40
0,764.5,10.8,62.0,-2.1,17.93611111125,39.47708333375,10.42299755,91.31166666499999,50
0,764.5333333,10.8,62.0,-2.15,17.92541666625,39.4939583325,33.64304134,91.32124999999999,50
0,764.5666667,10.8,62.0,-2.2,17.8927777775,39.551319443749996,48.21028454,91.21666666499999,40
0,764.6,10.8,62.0,-2.25,17.873749999999998,39.6228472225,44.0869426,91.21666666499999,40
0,764.6333333,10.8,62.0,-2.3,17.85673611125,39.69201388875,48.08823435,91.21666666499999,30
0,764.6666667,10.8,62.0,-2.35,17.8284722225,39.75381944375,23.23465928,90.995,20
0,764.7,10.8,62.0,-2.4,17.7972222225,39.81552083375,3.643867862,90.698333335,30
0,764.6,10.8,62.0,-2.45,17.7875,39.85423611125,43.71543768,90.63333333,30
0,764.5,10.8,62.0,-2.5,17.75770833375,39.88430555625,9.943640314,90.683333335,40
0,764.4,10.8,62.0,-2.55,17.74395833375,39.94486111125,26.72948793,90.66666666500001,50
0,764.3,10.8,62.0,-2.6,17.71965277875,40.0225,5.27810955,90.65,40
0,764.2,10.8,62.0,-2.65,17.706736111250002,40.0959722225,19.19975086,90.613333335,50
0,764.1,10.8,62.0,-2.7,17.678263888750003,40.10770833375,37.38529623,90.5,30
0,764.1,10.8,62.0,-2.77,17.672361111249998,40.143194445,34.7895499,90.483333335,40
0,764.1,10.8,62.0,-2.83,17.65069444375,40.14326388875,4.919588601,90.45,40
0,764.1,10.8,62.0,-2.9,17.62881944375,40.176388888750004,30.57658967,90.53,50
0,764.1,10.8,62.0,-2.97,17.63166666625,40.204930555000004,1.046262693,90.5,40
0,764.1,10.8,62.0,-3.03,17.60666666625,40.2003472225,32.48561246,90.6725,20
0,764.1,10.8,62.0,-3.1,17.599375000000002,40.222986111249995,48.91890351,90.78,20
0,764.0166667,10.8,62.33333333,-3.12,17.5822222225,40.22611111124999,42.12522296,90.64666667,30
0,763.9333333,10.8,62.66666667,-3.13,17.559444445,40.25409722249999,42.1392921,90.44666666500001,40
0,763.85,10.8,63.0,-3.15,17.530416666249998,40.24784722249999,19.37260813,90.25,40
0,763.7666667,10.8,63.33333333,-3.17,17.52722222125,40.26506944375,39.65355511,89.948333335,50
0,763.6833333,10.8,63.66666667,-3.18,17.52201388875,40.2693402775,20.30982795,89.745,50
0,763.6,10.8,64.0,-3.2,17.4863194425,40.27791666625,12.66744526,89.53,40
0,763.5666667,10.199999998800001,64.16666667,-3.28,17.453888889999998,40.28625,20.96519945,89.31333333,50
0,763.5333333,9.6000000012,64.33333333,-3.37,17.47,40.303125,24.77497665,89.14666667,40
0,763.5,9.0,64.5,-3.45,17.434583332499997,40.311249999999994,42.91229785,88.96666666499999,40
0,763.4666667,8.3999999988,64.66666667,-3.53,17.43041666625,40.32895833375,36.61324268,88.68,30
10,763.4333333,7.8000000012,64.83333333,-3.62,17.42111111125,40.36361111125001,48.72142453,88.5,30
0,763.4,7.2,65.0,-3.7,17.40930555625,40.37493055625001,5.002745485,88.35,20
0,763.3833333,7.8000000012,57.5,-3.7,17.373333333749997,40.393680555,41.62954185,88.133333335,30
10,763.3666667,8.3999999988,50.0,-3.7,17.35375,40.351597222500004,22.52770889,88.05,70
0,763.35,9.0,42.5,-3.7,17.346249999999998,40.33340277625001,42.52295679,87.981666665,50
10,763.3333333,9.6000000012,35.0,-3.7,17.3302777775,40.37715277875,28.48757718,87.765,60
10,763.3166667,10.199999998800001,27.5,-3.7,17.32,40.375486111250005,48.0771257,87.483333335,40
10,763.3,10.8,20.0,-3.7,17.31298611125,40.3672916675,47.7375367,87.16666666500001,40
10,763.2333333,11.4000000012,20.16666667,-3.68,17.30041666625,40.343125,14.18897544,86.933333335,40
10,763.1666667,11.9999999988,20.33333333,-3.67,17.26888888875,40.289930555000005,36.98032489,86.78,60
20,763.1,12.6,20.5,-3.65,17.24916666625,40.247847221250005,3.537128784,86.816666665,50
0,763.0333333,13.2000000012,20.66666667,-3.63,17.244861111250003,40.20451388875001,45.00597734,86.763333335,30
0,762.9666667,13.7999999988,20.83333333,-3.62,17.2275,40.12145833375,6.671028631,86.45,80
0,762.8833333,14.4,20.83333333,-3.52,17.18958333375,39.985555555000005,30.02040163,86.348333335,50
0,762.8666667,14.4,20.66666667,-3.43,17.161458332500004,39.940069445,6.648051948,86.495,50
0,762.85,14.4,20.5,-3.35,17.145000000000003,39.91069444375,25.46561686,86.4,60
0,762.8333333,14.4,20.33333333,-3.27,17.1384722225,39.8784722225,18.35249538,86.413333335,60
0,762.8166667,14.4,20.16666667,-3.18,17.136388888749998,39.854930554999996,0.16522737,86.44833333,60
0,762.8,14.4,20.0,-3.1,17.116388888750002,39.822291666249996,2.398993017,86.68625,60
0,762.7666667,14.4,20.16666667,-3.03,17.1115277775,39.809305556249996,44.10242251,86.6,50
0,762.7333333,14.4,20.33333333,-2.97,17.09625,39.7865972225,41.17585201,86.263333335,60
0,762.7,14.4,20.5,-2.9,17.09625,39.7559027775,20.65154505,85.95,30
0,762.6666667,14.4,20.66666667,-2.83,17.103194445000003,39.741875,46.0866609,86.016666665,30
0,762.6333333,14.4,20.83333333,-2.77,17.083750000000002,39.71291666625,23.87014667,85.863333335,30
0,762.4333333,15.5999999988,21.33333333,-2.5,17.115000000000002,39.709375,8.166022692,83.23,70
0,762.35,16.2,21.5,-2.4,17.124722221249996,39.72819444375,4.759718559,82.31333333500001,50
0,762.2666667,16.8000000012,21.66666667,-2.3,17.13208333375,39.70597222125,43.07573962,81.633333335,40
